		2021-11-18	2021-12-13	2021-12-21	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-31	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-04-23	2024-05-13	2024-05-17	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-13
split systems nunawading		4	5	4	4	3	4	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1
split systems ringwood		24	22	30	21	16	18	-	2	6	5	1	4	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
split systems surrey hills		24	24	22	29	24	24	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	3	3	1	2	1	3	2	2	2	3	2	2	2
split systems templestowe		22	19	25	25	27	23	5	2	4	4	3	5	4	4	3	3	3	3	1	1	2	1	2	2	3	4	6	4	2	3	2	3	3	3	2	2	2	2	1	4	2
split systems vermont		12	-	-	-	86	-	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	1	1	1	1	1	1	2	2	1	1	1
split systems wantirna		63	74	67	70	-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
split systems warrandyte		-	-	-	-	-	-	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2
air conditioning caulfield		-	-	15	17	16	16	12	11	11	14	11	7	8	6	8	6	8	8	9	9	10	10	11	10	13	11	13	15	13	15	6	11	11	11	11	6	8	11	10	13	8
air conditioning mornington peninsula		-	-	32	35	37	32	33	16	16	13	13	15	13	13	11	14	13	12	11	11	11	11	9	9	10	8	9	10	13	11	13	17	16	16	16	14	14	18	17	18	18
air conditioning toorak		-	-	-	-	-	-	10	10	13	8	7	7	6	7	6	9	9	6	6	9	6	10	7	10	11	11	10	9	14	11	9	11	11	7	6	5	6	5	5	9	11
ducted heating caulfield		-	-	11	14	14	15	2	2	2	3	4	5	5	5	5	4	4	4	4	4	4	4	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	3	6	2	4
ducted heating mornington peninsula		-	-	31	27	33	31	8	8	7	7	8	8	9	7	7	6	6	5	5	5	7	7	7	7	6	10	8	7	8	7	6	6	8	11	8	10	8	7	6	8	8
ducted heating toorak		-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2
evaporative cooling caulfield		-	-	14	10	19	11	2	2	1	2	2	3	3	3	1	2	2	2	2	3	3	2	2	2	2	3	3	3	4	2	3	2	2	2	2	2	2	2	2	2	2
evaporative cooling mornington peninsula		-	-	7	7	-	7	6	5	5	5	5	6	6	6	7	5	6	5	5	5	4	4	4	5	6	7	7	9	9	9	7	7	7	6	6	6	6	6	4	4	5
evaporative cooling toorak		-	-	-	-	-	-	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
heating and cooling caulfield		-	-	9	9	9	19	7	5	6	8	5	6	6	8	8	6	6	5	5	8	6	7	3	4	3	5	4	5	5	7	7	8	8	6	5	4	5	8	4	5	6
heating and cooling mornington peninsula		-	-	22	23	31	31	11	11	12	9	11	13	13	14	13	16	15	15	15	14	16	13	15	15	12	11	13	18	17	16	15	15	16	-	16	13	-	13	21	10	21
heating and cooling toorak		-	-	-	-	-	-	1	3	2	1	3	4	4	6	2	4	5	3	3	5	3	3	3	4	4	4	4	4	3	4	2	3	3	3	3	2	2	3	2	2	6
hydronic heating caulfield		-	-	8	3	5	6	2	2	3	2	3	5	6	6	4	3	4	4	4	4	5	4	5	3	5	5	7	6	3	3	3	3	4	4	4	3	5	4	6	6	8
hydronic heating mornington peninsula		-	-	18	17	23	25	5	7	6	6	6	7	7	7	9	7	7	4	4	9	8	9	7	7	9	10	9	7	7	6	3	5	4	4	4	4	5	5	5	6	9
hydronic heating toorak		-	-	-	-	-	-	3	2	2	3	3	4	5	5	4	5	5	4	4	3	3	4	2	2	2	2	2	3	2	2	3	3	3	2	2	3	3	2	2	3	3
reverse cycle air conditioning caulfield		-	-	25	22	26	25	1	1	3	3	1	2	2	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	2	3	3	4	4	3	2	2	2	6	6	6	11
reverse cycle air conditioning mornington peninsula		-	-	23	21	25	27	8	7	4	4	4	5	6	6	5	6	3	4	3	3	4	2	2	1	1	1	1	1	1	2	2	3	3	1	1	1	1	2	7	10	9
reverse cycle air conditioning toorak		-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	5	6
split systems caulfield		-	-	20	30	26	26	3	2	2	3	2	2	2	2	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	3	3	3	3	2	1	1	2	2	2	1	2
split systems mornington peninsula		-	-	28	34	44	37	8	7	8	7	7	7	8	7	3	1	1	2	2	1	1	2	2	2	2	3	2	2	2	3	3	5	4	5	6	3	4	5	8	7	10
split systems toorak		-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	2	3	2	3	2	2	3	2	2	2	2	2	2
electric ducted heating balwyn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
electric ducted heating bayswater		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
electric ducted heating blackburn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	1	1	1	1	1	1
electric ducted heating box hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	1	1	1	1
electric ducted heating brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
electric ducted heating bulleen		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	1	1	1	1	1	1
electric ducted heating camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	3	1	1	1	1	1
electric ducted heating chadstone		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
electric ducted heating croydon		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	3	1	1	1	1	1
electric ducted heating doncaster		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	2	1	1	1	1	1
electric ducted heating eastern suburbs		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
electric ducted heating ferntree gully		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	1	1	2	1	1
electric ducted heating forest hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	2
electric ducted heating glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	1	2	1	1	1
electric ducted heating glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	1	1	1	1
electric ducted heating greensborough		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	2	2	2	3	3
electric ducted heating hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	3	1	1	1	2	2
electric ducted heating kew		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	2	1	1	1	1	1
electric ducted heating lilydale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
electric ducted heating malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	1	1	1	1
electric ducted heating maroondah		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
electric ducted heating mitcham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
electric ducted heating montrose		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
electric ducted heating mooroolbark		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	1	1	1	1
electric ducted heating nunawading		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	1	1	1	1	1
electric ducted heating ringwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	1	1	1	1	1	1
electric ducted heating surrey hills		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
electric ducted heating templestowe		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	1	1	3	3
electric ducted heating vermont		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
electric ducted heating wantirna		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
electric ducted heating and cooling melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	25	26	8	3	1	1	1
electric ducted heating installation melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	5	1	1	1	1	1
electric ducted heating melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	48	24	9	2	1	1	1
electric ducted heating repair melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	12	25	5	4	7	3	3
electric ducted heating service melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	12	26	5	2	1	1	1
daikin electric ducted heating		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	62	-	19	18
electric ducted heating caulfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	1	2	1	1	2
electric ducted heating mornington peninsula		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	13	3	3	1	1	4
electric ducted heating toorak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1
electric ducted heating warrandyte		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3	1	1	1	1	1
